,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000068024.17,4551.817596,1.160334581,0.066318386,17.49642363,1.53E-68,9.61E-67
ENSG00000070031.4,16.89297106,1.173207723,0.142281775,8.245664102,1.64E-16,8.28E-16
ENSG00000072182.13,6578.41778,2.054747667,0.153755909,13.36369889,9.85E-41,1.90E-39
ENSG00000073910.22,5566.757023,1.051000728,0.065516989,16.04165185,6.54E-58,2.69E-56
ENSG00000074527.13,1579.954546,1.21939614,0.126765567,9.619300976,6.63E-22,4.67E-21
ENSG00000075826.17,1355.417449,1.337742556,0.0975375,13.71516134,8.24E-43,1.73E-41
ENSG00000076344.16,1561.714108,1.355317426,0.110289133,12.28876674,1.04E-34,1.48E-33
ENSG00000076826.10,1019.597091,1.190585061,0.124434407,9.567973087,1.09E-21,7.59E-21
ENSG00000077063.11,4233.423649,1.296281868,0.084358964,15.36626109,2.76E-53,9.07E-52
ENSG00000077080.10,1586.875,1.344151873,0.162908541,8.250960083,1.57E-16,7.93E-16
ENSG00000077279.19,5060.286569,1.051822946,0.144492925,7.279407918,3.35E-13,1.34E-12
ENSG00000079482.13,6752.262034,1.695810047,0.083413485,20.33016656,6.96E-92,9.62E-90
ENSG00000079689.14,49.08220394,1.22410957,0.263082096,4.652956589,3.27E-06,7.52E-06
ENSG00000084628.10,1288.356334,1.16776535,0.112260496,10.40228211,2.42E-25,2.07E-24
ENSG00000088320.4,159.7737519,2.476419999,0.216645517,11.43074657,2.94E-30,3.34E-29
ENSG00000088881.21,3691.016203,1.000252745,0.074082201,13.50193079,1.52E-41,3.04E-40
ENSG00000089041.17,2538.087047,1.08350795,0.101867359,10.63645865,2.02E-26,1.86E-25
ENSG00000089116.4,254.5564951,4.699055113,0.271588302,17.30212631,4.53E-67,2.63E-65
ENSG00000089199.10,7696.688026,1.424780197,0.157200617,9.063451659,1.26E-19,7.76E-19
ENSG00000090659.18,60.44113275,1.720017008,0.207569048,8.286481175,1.17E-16,5.95E-16
ENSG00000090932.11,14004.73396,2.414280347,0.143564148,16.81673585,1.84E-63,9.38E-62
ENSG00000092051.17,7460.867237,1.073484439,0.111826359,9.599565336,8.03E-22,5.63E-21
ENSG00000092054.13,2209.945913,1.746936684,0.145929409,11.97110775,5.04E-33,6.56E-32
ENSG00000095464.10,39.45436716,1.253731139,0.087060483,14.40069131,5.12E-47,1.29E-45
ENSG00000095539.15,656.486688,1.001303106,0.060528279,16.54273212,1.81E-61,8.59E-60
ENSG00000095713.14,3996.984311,1.891298447,0.136900033,13.81517893,2.06E-43,4.47E-42
ENSG00000095917.14,7.322671765,1.018647167,0.351017158,2.901986819,0.003708041,0.006152543
ENSG00000099284.15,2027.684465,1.754658453,0.087027771,20.16205205,2.11E-90,2.71E-88
ENSG00000099769.6,62.30919535,1.377350263,0.105346669,13.07445475,4.61E-39,8.13E-38
ENSG00000099992.16,1206.283329,1.086049482,0.093513247,11.61385698,3.50E-31,4.15E-30
ENSG00000100095.19,21578.0997,1.293085182,0.138472972,9.338177421,9.80E-21,6.48E-20
ENSG00000100129.18,8338.230058,1.13460825,0.065946128,17.20507751,2.43E-66,1.35E-64
ENSG00000100142.16,6447.705227,1.306165954,0.07801896,16.7416479,6.52E-63,3.27E-61
ENSG00000100181.22,3734.676793,4.502911814,0.249553088,18.04390339,8.81E-73,6.48E-71
ENSG00000100197.22,124.9082752,1.137460099,0.119929335,9.48441932,2.44E-21,1.67E-20
ENSG00000100276.10,1777.729033,2.306174417,0.130999236,17.60448747,2.28E-69,1.44E-67
ENSG00000100448.4,1.897366115,1.03366599,0.412650102,2.504945438,0.012247028,0.018983069
ENSG00000100625.9,283.8396391,1.002487172,0.105499915,9.502255743,2.05E-21,1.41E-20
ENSG00000100678.19,1758.788398,1.330343037,0.120037737,11.08270676,1.52E-28,1.58E-27
ENSG00000100842.13,4933.537844,1.114252552,0.077202306,14.43289213,3.21E-47,8.18E-46
ENSG00000100867.15,232.0860203,2.528599054,0.193840088,13.04476841,6.81E-39,1.19E-37
ENSG00000101198.15,11846.76142,1.123461005,0.111278117,10.0959743,5.76E-24,4.57E-23
ENSG00000101280.8,57.87839248,1.04310538,0.144239973,7.231735801,4.77E-13,1.89E-12
ENSG00000101311.16,4743.231391,3.150409124,0.121562528,25.91595607,4.40E-148,2.76E-145
ENSG00000101425.14,12.13244613,1.147511551,0.1511773,7.590501708,3.19E-14,1.37E-13
ENSG00000102145.15,6.564681063,1.171936441,0.14524644,8.068607,7.11E-16,3.43E-15
ENSG00000102195.10,5.293161258,2.221397175,0.295455054,7.518562106,5.54E-14,2.34E-13
ENSG00000102221.14,1581.601553,1.228366554,0.074086811,16.58009748,9.71E-62,4.67E-60
ENSG00000102290.22,458.9928806,1.260655758,0.157719257,7.99303638,1.32E-15,6.21E-15
ENSG00000102362.15,2652.747593,1.224765802,0.130991429,9.349969006,8.77E-21,5.80E-20
ENSG00000102878.17,828.5685235,1.249632579,0.129860913,9.622853808,6.40E-22,4.52E-21
ENSG00000102924.12,483.4100522,1.647741157,0.149834735,10.99705725,3.95E-28,4.00E-27
ENSG00000103460.17,1477.102314,1.511205108,0.124007638,12.18638731,3.67E-34,5.06E-33
ENSG00000104112.9,35357.51108,1.376229335,0.114600684,12.00891029,3.19E-33,4.19E-32
ENSG00000104313.20,1398.071154,1.652382413,0.132016533,12.51648086,6.07E-36,9.12E-35
ENSG00000104899.8,780.8836495,1.750388001,0.148274321,11.80506504,3.68E-32,4.55E-31
ENSG00000105048.17,225.0582912,1.295372895,0.183712851,7.05107393,1.78E-12,6.73E-12
ENSG00000105141.6,0.947739265,1.277458657,0.441899253,2.890836875,0.003842175,0.006364748
ENSG00000105143.12,511.9455697,1.127246481,0.15359554,7.339057399,2.15E-13,8.73E-13
ENSG00000105251.11,7178.14425,2.779958874,0.128769998,21.58856029,2.30E-103,5.29E-101
ENSG00000105278.12,468.1435584,1.09643735,0.20988863,5.223900652,1.75E-07,4.47E-07
ENSG00000105609.17,97.81822603,1.892462657,0.179495303,10.54324334,5.46E-26,4.86E-25
ENSG00000105610.6,22.56685255,1.145734252,0.116998071,9.792761863,1.21E-22,8.90E-22
ENSG00000105613.10,2948.001701,1.045301415,0.10765045,9.710144438,2.73E-22,1.97E-21
ENSG00000106018.14,2586.135712,1.855136886,0.176560536,10.50708685,8.01E-26,7.08E-25
ENSG00000106038.13,10.36735221,1.123583361,0.276337972,4.065975272,4.78E-05,9.85E-05
ENSG00000106178.7,6.223415585,2.191608968,0.364897961,6.00608718,1.90E-09,5.71E-09
ENSG00000106688.12,2568.202113,1.134446783,0.109374861,10.37209809,3.32E-25,2.81E-24
ENSG00000107187.17,43.01857918,2.135213382,0.250410133,8.52686492,1.50E-17,8.08E-17
ENSG00000107807.13,259.2126383,3.152755971,0.258035713,12.21829312,2.48E-34,3.45E-33
ENSG00000107815.10,1225.706267,1.043245255,0.050994053,20.45817507,5.08E-93,7.47E-91
ENSG00000107859.10,5.550946114,1.031114148,0.191045424,5.397219828,6.77E-08,1.79E-07
ENSG00000108179.14,7128.653156,1.047285582,0.083161469,12.59339933,2.30E-36,3.52E-35
ENSG00000108702.4,4.301982808,2.129077095,0.321615801,6.619939337,3.59E-11,1.24E-10
ENSG00000108830.10,18407.34409,1.0725173,0.092410145,11.6060558,3.84E-31,4.54E-30
ENSG00000109846.9,133140.5511,1.749672638,0.123078801,14.21587326,7.30E-46,1.76E-44
ENSG00000110375.3,77.89343285,1.782246632,0.110376805,16.14693084,1.19E-58,5.08E-57
ENSG00000110693.18,6612.723806,1.34770472,0.0847738,15.89765605,6.58E-57,2.54E-55
ENSG00000110881.12,9411.359653,1.065166923,0.095809096,11.11759706,1.03E-28,1.08E-27
ENSG00000110987.9,3838.102701,1.180979462,0.069183897,17.07014953,2.48E-65,1.33E-63
ENSG00000111249.14,1226.542371,1.065979101,0.185293677,5.752916755,8.77E-09,2.50E-08
ENSG00000111664.11,294.5833955,1.252040319,0.120283548,10.4090737,2.25E-25,1.93E-24
ENSG00000112164.6,347.0427912,3.485042896,0.223590242,15.58673969,8.96E-55,3.16E-53
ENSG00000112232.10,171.2132442,1.357107576,0.1674496,8.104573409,5.29E-16,2.57E-15
ENSG00000113231.14,1737.798119,1.089133512,0.100214757,10.86799529,1.64E-27,1.61E-26
ENSG00000113492.14,2.876574354,1.768242229,0.386286848,4.577536717,4.70E-06,1.06E-05
