"","ENSG00000277655.1","ENSG00000237187.9","ENSG00000146278.11","ENSG00000260851.7","ENSG00000262663.1","ENSG00000188585.9","ENSG00000138646.9","ENSG00000243316.7","ENSG00000148400.12","ENSG00000236712.1","ENSG00000286951.1","ENSG00000278395.1","ENSG00000275088.1","ENSG00000259130.2","ENSG00000277972.2","ENSG00000173930.9","ENSG00000251977.1","ENSG00000229169.1","ENSG00000254398.1","ENSG00000252651.1","ENSG00000214245.3","ENSG00000271803.1","ENSG00000267116.1","ENSG00000164070.12","ENSG00000236733.1","ENSG00000244255.5","ENSG00000168724.17","ENSG00000277391.1","ENSG00000184575.12","ENSG00000149451.18","ENSG00000233357.2","ENSG00000262730.1","ENSG00000223315.1","ENSG00000005486.17","ENSG00000159409.15","ENSG00000254820.1","ENSG00000243849.2","ENSG00000127241.18","ENSG00000204780.5","ENSG00000001626.16","ENSG00000265144.1","ENSG00000236797.1","ENSG00000252686.1","ENSG00000177173.5","ENSG00000224634.1","ENSG00000265014.1","ENSG00000006638.13","ENSG00000278497.1","ENSG00000230758.1","ENSG00000239614.1"
"TCGA-FG-6692-01A-11R-1896-07",0,2765,3714,2,9,1,1209,0,8795,0,0,0,2,1,1377,2,0,3,2,0,0,2,0,1257,0,0,1299,0,7963,1056,0,0,0,17599,165,0,1,9991,0,55,2,10,1,3,0,0,307,0,1,0
"TCGA-FG-6689-01A-11R-1896-07",2,2518,5125,10,8,3,892,0,10540,0,0,0,10,0,1020,9,0,0,5,0,0,3,0,2156,0,0,1760,1,5021,140,0,0,0,14812,2489,0,0,22265,0,138,0,4,0,1,0,0,96,0,3,0
"TCGA-HT-8107-01A-13R-2404-07",4,3928,3401,18,9,0,280,0,2993,0,2,0,174,2,1041,45,0,0,20,0,0,6,0,5367,0,0,2588,0,6583,302,0,0,0,17509,6054,0,1,1050,0,232,0,3,0,6,0,0,66,0,1,3
"TCGA-DB-A75M-01A-11R-A32Q-07",1,2625,2380,6,10,0,311,0,17697,0,0,0,11,7,909,0,0,0,4,0,0,1,0,353,0,0,1120,0,5049,105,0,0,0,8513,1075,0,4,10406,0,141,0,2,0,2,0,0,145,0,0,0
"TCGA-DU-7306-01A-11R-2090-07",0,2665,3633,8,3,0,1208,0,15337,1,2,0,1,7,918,1,0,0,1,0,0,0,0,1930,0,0,1533,0,23003,39,0,0,0,8681,823,0,2,16862,0,84,0,0,0,1,0,0,146,0,0,0
"TCGA-P5-A5EY-01A-11R-A27Q-07",0,1807,2539,4,1,1,557,0,4134,1,0,0,16,1,915,14,0,0,1,0,0,1,0,1341,0,0,1250,0,5015,165,0,0,0,10804,3377,0,4,2686,0,48,0,1,0,3,0,0,38,1,0,0
"TCGA-DH-5143-01A-01R-1470-07",2,2558,3568,1,2,0,515,1,14866,0,0,0,9,6,978,4,0,0,4,0,0,0,0,922,0,0,1194,0,6393,17,0,0,0,13357,3161,0,1,10167,0,67,2,2,0,1,0,0,84,0,0,0
"TCGA-HT-8013-01A-11R-2403-07",1,1826,3984,3,6,2,771,0,26872,4,0,0,1,6,1227,5,0,0,8,0,0,0,0,1000,0,0,1794,0,7880,144,0,0,0,9279,1617,0,1,6355,0,349,0,1,0,3,0,0,250,0,0,1
"TCGA-VM-A8CA-01A-11R-A36H-07",0,1858,3095,7,1,0,706,0,4980,0,1,0,19,2,1126,3,0,0,2,0,0,0,1,713,0,0,1212,0,2684,216,0,0,0,12890,1898,0,1,3767,0,14,0,0,0,0,0,0,103,0,1,0
"TCGA-DU-A5TS-01A-11R-A28M-07",0,1183,1693,2,5,0,432,0,7225,0,0,0,1,2,590,0,0,0,4,0,0,3,0,350,0,0,858,0,4115,119,0,0,0,6623,526,0,2,4565,0,94,0,3,0,0,0,0,73,0,0,0
